name,company,year,Price,kms_driven,fuel_type
Renault0Duster0850PS0RxE0Diesel,Renault,2013,"4,89,999","27,0000kms",Diesel
Honda0City01.50S0MT,Honda,2011,"2,80,000","33,0000kms",Petrol
Maruti0Suzuki0Alto0K100VXi0AMT,Maruti,2015,"2,50,000","60,0000kms",Petrol
Maruti0Suzuki0Dzire,Maruti,2013,"3,49,999","46,0000kms",Diesel
Honda0Amaze,Honda,2013,"2,84,999","46,0000kms",Diesel
Honda0Amaze01.50SX0i0DTEC,Honda,2015,"3,45,000","36,0000kms",Diesel
Honda0City,Honda,2015,"4,99,999","55,0000kms",Petrol
Datsun0Redi0GO0S,Datsun,2017,"2,35,000","16,0000kms",Petrol
Maruti0Suzuki0SX40ZXI0MT,Maruti,2010,"2,49,999","36,0000kms",Petrol
Mitsubishi0Pajero0Sport0Limited0Edition,Mitsubishi,2015,"14,75,000","47,0000kms",Diesel
Mahindra0Bolero0DI,Mahindra,2017,"1,80,000","23,4520kms",Diesel
Maruti0Suzuki0Swift0Dzire0ZDi,Maruti,2014,"3,85,000","35,5220kms",Diesel
Mahindra0Scorpio0S1004WD,Mahindra,2015,"2,50,000","48,5080kms",Diesel
Maruti0Suzuki0Swift0Vdi0BSIII,Maruti,2017,"1,80,000","15,4870kms",Petrol
Maruti0Suzuki0Wagon0R0VXi0BS0III,Maruti,2013,"1,05,000","39,0000kms",Petrol
Maruti0Suzuki0Wagon0R0VXi0Minor,Maruti,2013,"1,05,000","39,0000kms",Petrol
Mahindra0Scorpio0S10,Mahindra,2015,"3,95,000","35,0000kms",Diesel
Maruti0Suzuki0Swift0VXi01.20ABS0BS0IV,Maruti,2017,"2,20,000","30,8740kms",Petrol
Honda0City0ZX0CVT,Honda,2017,"1,70,000","15,0000kms",Diesel
Maruti0Suzuki0Wagon0R0LX0BS0IV,Maruti,2013,"85,000","29,6850kms",Petrol
Ford0Figo,Ford,2012,"1,75,000","41,0000kms",Diesel
Hyundai0Eon,Hyundai,2013,"1,90,000","25,0000kms",Petrol
Tata0Indigo0eCS0LS0CR40BS0IV,Tata,2017,"2,00,000","1,30,0000kms",Diesel
Ford0EcoSport0Ambiente01.5L0TDCi,Ford,2016,"8,30,000","24,5300kms",Diesel
Tata0Indigo0eCS0LS0CR40BS0IV,Tata,2017,"2,00,000","1,30,0000kms",Diesel
Mahindra0Scorpio0SLE0BS0IV,Mahindra,2012,"5,70,000","19,0000kms",Diesel
Volkswagen0Polo0Highline0Exquisite0P,Volkswagen,2014,"3,15,000","60,0000kms",Petrol
Skoda0Fabia0Classic01.20MPI,Skoda,2010,"1,82,000","60,0000kms",Petrol
Maruti0Suzuki0Stingray0VXi,Maruti,2015,"3,15,000","30,0000kms",Petrol
I0want0to0sell0my0car0Tata0Zest,I,2017,Ask0For0Price,,
Chevrolet0Spark0LS01.0,Chevrolet,2010,"1,10,000","41,0000kms",Petrol
Renault0Duster0110PS0Diesel0RxZ,Renault,2012,"5,01,000","35,0000kms",Diesel
Honda0City,Honda,2015,"4,48,999","54,0000kms",Petrol
Mini0Cooper0S01.6,Mini,2013,"18,91,111","13,0000kms",Petrol
Datsun0Redi0GO0S,Datsun,2017,"2,35,000","16,0000kms",Petrol
Skoda0Fabia01.2L0Diesel0Ambiente,Skoda,2011,"1,59,500","38,2000kms",Diesel
Honda0Amaze,Honda,2015,"3,44,999","22,0000kms",Petrol
Honda0Amaze,Honda,2015,"3,44,999","22,0000kms",Petrol
Renault0Duster,Renault,2014,"4,49,999","50,0000kms",Diesel
Mini0Cooper0S01.6,Mini,2013,"18,91,111","13,5000kms",Petrol
Mahindra0Scorpio0S4,Mahindra,2015,"8,65,000","30,0000kms",Diesel
Mahindra0Scorpio0VLX02WD0BS0IV,Mahindra,2014,"6,99,000","50,0000kms",Diesel
Mahindra0Quanto0C8,Mahindra,2013,"3,75,000","20,0000kms",Diesel
Ford0EcoSport,Ford,2017,"4,89,999","39,0000kms",Petrol
Honda0Brio,Honda,2012,"2,24,999","30,0000kms",Petrol
I0want0to0sell0my0car0Tata0Zest,I,2017,Ask0For0Price,,
Volkswagen0Vento0Highline0Plus01.50Diesel0AT,Volkswagen,2019,"12,00,000","3,6000kms",Diesel
Hyundai0i200Magna,Hyundai,2009,"1,95,000","32,0000kms",Petrol
Toyota0Corolla0Altis0Diesel0D4DG,Toyota,2010,"3,51,000","38,0000kms",Diesel
Hyundai0Verna0Transform0SX0VTVT,Hyundai,2008,"1,60,000","45,0000kms",Petrol
Toyota0Corolla0Altis0Petrol0Ltd,Toyota,2009,"2,40,000","35,0000kms",Petrol
Honda0City01.50EXi0New,Honda,2005,"90,000","50,0000kms",Petrol
Hyundai0Elite0i200Magna01.2,Hyundai,2014,"4,15,000","32,0000kms",Petrol
Skoda0Fabia01.2L0Diesel0Elegance,Skoda,2011,"1,55,000","45,8630kms",Diesel
BMW030Series0320i,BMW,2011,"6,00,000","60,5000kms",Petrol
Maruti0Suzuki0A0Star0Lxi,Maruti,2011,"1,89,500","12,5000kms",Petrol
Toyota0Etios0GD,Toyota,2013,"3,50,000","60,0000kms",Diesel
Ford0Figo0Diesel0EXI0Option,Ford,2012,"2,10,000","35,0000kms",Diesel
Maruti0Suzuki0Swift0Dzire0VXi01.20BS0IV,Maruti,2014,"3,90,000","35,0000kms",Petrol
Chevrolet0Beat0LT0Diesel,Chevrolet,2012,"1,35,000","45,0000kms",Diesel
BMW070Series0740Li0Sedan,BMW,2009,"16,00,000","35,0000kms",Petrol
Mahindra0XUV5000W80AWD02013,Mahindra,2013,"7,01,000","38,0000kms",Diesel
Hyundai0i100Magna01.2,Hyundai,2014,"2,65,000","18,0000kms",Petrol
Hyundai0Verna0Fluidic0New,Hyundai,2015,"5,25,000","35,0000kms",Diesel
Maruti0Suzuki0Swift0VXi01.20BS0IV,Maruti,2013,"3,72,000","13,3490kms",Petrol
Maruti0Suzuki0Ertiga0ZXI0Plus,Maruti,2016,"6,35,000","29,0000kms",Petrol
Ford0EcoSport0Titanium01.5L0TDCi,Ford,2014,"5,50,000","44,0000kms",Diesel
Maruti0Suzuki0Ertiga0Vxi,Maruti,2016,"5,75,000","29,0000kms",Petrol
Maruti0Suzuki0Ertiga0VDi,Maruti,2013,"4,85,000","42,0000kms",Diesel
Maruti0Suzuki0Alto0LXi0BS0III,Maruti,2012,"1,55,000","14,0000kms",Petrol
Hyundai0Grand0i100Asta01.10CRDi,Hyundai,2014,"3,45,000","49,0000kms",Diesel
Honda0Amaze01.20S0i0VTEC,Honda,2014,"3,25,000","42,0000kms",Petrol
Hyundai0i200Asta01.40CRDI060Speed,Hyundai,2012,"3,29,500","36,2000kms",Diesel
Ford0Figo0Diesel0EXI,Ford,2014,"1,95,000","50,0000kms",Diesel
Maruti0Suzuki0Eeco050STR0WITH0AC0HTR,Maruti,2015,"2,51,111","55,0000kms",Petrol
Maruti0Suzuki0Ertiga0ZXi,Maruti,2014,"5,69,999","45,0000kms",Petrol
Maruti0Suzuki0Esteem0LXi0BS0III,Maruti,2007,"69,999","51,0000kms",Petrol
Maruti0Suzuki0Ritz0VXI,Maruti,2014,"2,99,999","19,0000kms",Petrol
Maruti0Suzuki0Dzire,Maruti,2009,"2,20,000","46,0000kms",Petrol
Maruti0Suzuki0Ritz0LDi,Maruti,2013,"3,99,999","33,0000kms",Diesel
Maruti0Suzuki0Swift0VXi01.20BS0IV,Maruti,2013,"3,72,000","13,3490kms",Petrol
Maruti0Suzuki0Dzire0VDI,Maruti,2015,"4,50,000","1,04,0000kms",Diesel
Toyota0Etios0Liva0G,Toyota,2014,"2,70,000","55,0000kms",Petrol
Hyundai0i200Sportz01.40CRDI,Hyundai,2011,"3,50,000","33,3330kms",Diesel
Chevrolet0Spark,Chevrolet,2012,"1,58,400","33,6000kms",Petrol
Maruti0Suzuki0Alto0K100VXi0AMT,Maruti,2017,"3,50,000","5,6000kms",Petrol
Nissan0Micra0XV,Nissan,2011,"1,79,000","41,0000kms",Petrol
Maruti0Suzuki0Swift,Maruti,2007,"1,25,000","70,0000kms",Petrol
Maruti0Suzuki0Alto0800,Maruti,2018,"2,00,000","7,5000kms",Petrol
Honda0Amaze01.50S0i0DTEC,Honda,2013,"2,99,000","45,0000kms",Diesel
Maruti0Suzuki0Alto08000Vxi,Maruti,2015,"2,20,000","38,0000kms",Petrol
Chevrolet0Beat,Chevrolet,2015,"1,50,000","30,0000kms",Petrol
Toyota0Corolla,Toyota,2009,"2,75,000","26,0000kms",
Honda0City01.50V0MT,Honda,2010,"2,85,000","35,0000kms",Petrol
Ford0EcoSport0Trend01.5L0TDCi,Ford,2016,"8,30,000","24,3300kms",Diesel
Hyundai0i200Asta01.2,Hyundai,2009,"2,10,000","65,4800kms",Petrol
Maruti0Suzuki0Swift0Dzire0VXi01.20BS0IV,Maruti,2013,"3,40,000","41,0000kms",Petrol
Tata0Indica0V20eLS,Tata,2006,"90,000","20,0000kms",Petrol
Maruti0Suzuki0Alto08000Lxi,Maruti,2018,Ask0For0Price,"28,0280kms",Petrol
Hindustan0Motors0Ambassador,Hindustan,2000,"70,000","2,00,0000kms",Diesel
Toyota0Corolla0Altis01.80GL,Toyota,2010,"2,89,999","70,0000kms",Petrol
Toyota0Corolla0Altis01.80J,Toyota,2012,"3,49,999","59,0000kms",Petrol
Toyota0Innova02.50GX0BS0IV070STR,Toyota,2012,"8,49,999","99,0000kms",Diesel
Volkswagen0Jetta0Highline0TDI0AT,Volkswagen,2014,"7,49,999","46,0000kms",Diesel
Volkswagen0Polo0Comfortline01.2L0P,Volkswagen,2015,"3,99,999","2,8000kms",Petrol
Volkswagen0Polo,Volkswagen,2014,"2,74,999","32,0000kms",Petrol
Mahindra0Scorpio,Mahindra,2015,"9,84,999","22,0000kms",Diesel
Renault0Duster,Renault,2014,"4,49,999","50,0000kms",Diesel
Honda0Amaze,Honda,2015,"3,44,999","22,0000kms",Petrol
Nissan0Sunny,Nissan,2012,"2,24,999","45,0000kms",Petrol
Hyundai0Elite0i20,Hyundai,2018,"5,99,999","21,0000kms",Petrol
Renault0Kwid,Renault,2016,"2,44,999","11,0000kms",Petrol
Renault0Duster,Renault,2013,"3,99,999","41,0000kms",Diesel
Ford0EcoSport,Ford,2017,"4,89,999","39,0000kms",Petrol
Renault0Duster,Renault,2014,"4,74,999","50,0000kms",Diesel
Mahindra0Scorpio0VLX0Airbag,Mahindra,2011,"4,99,999","66,0000kms",Diesel
Maruti0Suzuki0Alto08000Lxi,Maruti,2018,"3,10,000","3,0000kms",Petrol
Chevrolet0Spark0LT01.0,Chevrolet,2010,"85,000","45,0000kms",Petrol
Datsun0Redi0GO0T0O,Datsun,2016,"2,45,000","7,0000kms",Petrol
Maruti0Suzuki0Swift0RS0VDI,Maruti,2010,"1,89,500","38,5000kms",Diesel
Fiat0Punto0Emotion01.2,Fiat,2012,"1,69,500","37,2000kms",Diesel
Maruti0Suzuki0Swift0RS0VDI,Maruti,2010,"1,59,500","43,2000kms",Diesel
Toyota0Etios0GD,Toyota,2013,"2,75,000","24,8000kms",Petrol
Hyundai0i200Sportz01.40CRDI,Hyundai,2014,"3,70,000","60,0000kms",Diesel
Hyundai0i100Sportz01.2,Hyundai,2010,"1,68,000","45,8720kms",Petrol
Chevrolet0Beat0LT0Opt0Diesel,Chevrolet,2011,"1,50,000","40,0000kms",Diesel
Chevrolet0Beat0LS0Diesel,Chevrolet,2011,"1,45,000","45,0000kms",Diesel
Chevrolet0Beat0LT0Diesel,Chevrolet,2012,"98,500","38,0000kms",Diesel
Mahindra0Scorpio0VLX02WD0BS0IV,Mahindra,2014,"6,99,000","50,0000kms",Diesel
Tata0Indigo0CS,Tata,2011,"85,000","11,4000kms",Diesel
Toyota0Corolla0Altis01.80J,Toyota,2015,"5,75,000","42,0000kms",Petrol
Honda0City01.50V0MT,Honda,2014,"5,49,000","39,0000kms",Petrol
Maruti0Suzuki0Swift0VDi,Maruti,2011,"2,09,000","47,0000kms",Diesel
Hyundai0Eon0Era0Plus,Hyundai,2013,"1,85,000","27,0000kms",Petrol
Mahindra0Scorpio0S10,Mahindra,2015,"9,00,000","97,2000kms",Diesel
Mahindra0XUV500,Mahindra,2014,"6,99,999","52,0000kms",Diesel
Honda0Brio,Honda,2012,"2,24,999","30,0000kms",Petrol
Ford0Fiesta,Ford,2011,"2,74,999","55,0000kms",Diesel
Honda0Amaze,Honda,2013,"2,84,999","46,0000kms",Diesel
Honda0City,Honda,2015,"5,99,999","30,0000kms",Diesel
Maruti0Suzuki0Wagon0R,Maruti,2012,"1,99,999","44,0000kms",Petrol
Honda0City,Honda,2014,"5,44,999","45,0000kms",Diesel
Hyundai0i20,Hyundai,2009,"1,99,000","31,0000kms",Petrol
Tata0Indigo0eCS0LX0TDI0BS0III,Tata,2016,"3,20,000","1,75,4300kms",Diesel
Hyundai0Fluidic0Verna01.60CRDi0SX,Hyundai,2015,"5,40,000","38,0000kms",Diesel
"Commercial0,0DZire0LDI,02016,0for0sale",Commercial,Commercial,Ask0For0Price,,
Mahindra0Quanto0C8,Mahindra,2013,"3,40,000","37,0000kms",Diesel
Fiat0Petra0ELX01.20PS,Fiat,2008,"75,000","65,0000kms",Petrol
Skoda0Fabia01.2L0Diesel0Ambiente,Skoda,2011,"1,59,500","38,2000kms",Diesel
Mini0Cooper0S01.6,Mini,2013,"18,91,111","13,0000kms",Petrol
Hyundai0Santro0Xing0XS,Hyundai,2005,"49,000","7,5000kms",Petrol
Maruti0Suzuki0Ciaz0VXi0Plus,Maruti,2016,"7,00,000","3,3500kms",Petrol
Maruti0Suzuki0Zen0VX,Maruti,2000,"55,000","60,0000kms",Petrol
Honda0City,Honda,2015,"4,48,999","54,0000kms",Petrol
Hyundai0Creta01.60SX0Plus0Petrol,Hyundai,2017,"8,95,000","32,0000kms",Petrol
"Tata0indigo0ecs0LX,0201",Tata,2015,"1,50,000",,
Mahindra0Scorpio0SLX,Mahindra,2007,"3,55,000","75,0000kms",Diesel
Mahindra0Scorpio0SLE0BS0IV,Mahindra,2012,"5,65,000","62,0000kms",Diesel
Toyota0Innova02.50G0BS0III080STR,Toyota,2006,"3,65,000","73,0000kms",Diesel
Maruti0Suzuki0Alto0K100VXi0AMT,Maruti,2011,"1,45,000","41,0000kms",Petrol
Maruti0Suzuki0Wagon0R0LXI0BS0IV,Maruti,2011,"2,10,000","35,0000kms",Petrol
Tata0Nano0Cx0BSIV,Tata,2013,"40,000","2,2000kms",Petrol
Maruti0Suzuki0Alto0Std0BS0IV,Maruti,2013,"1,25,000","39,0000kms",Petrol
Maruti0Suzuki0Wagon0R0LXi0BS0III,Maruti,2009,"1,35,000","45,0000kms",Petrol
Maruti0Suzuki0Swift0VXI0BSIII,Maruti,2006,"1,35,000","45,0000kms",Petrol
Tata0Sumo0Victa0EX0100by070Str0BSIII,Tata,2012,"2,85,000","65,0000kms",Diesel
MARUTI0SUZUKI0DESI,MARUTI,TOUR,"4,00,000",,
Maruti0Suzuki0Wagon0R0LXi0BS0III,Maruti,2010,"1,45,000","54,8700kms",Petrol
Maruti0Suzuki0Alto0LXi0BS0III,Maruti,2010,"1,35,000","34,5800kms",Petrol
Volkswagen0Passat0Diesel0Comfortline0AT,Volkswagen,2009,"4,50,000","97,0000kms",Diesel
Renault0Scala0RxL0Diesel0Travelogue,Renault,2015,"3,75,000","25,0000kms",Diesel
Mahindra0Quanto0C8,Mahindra,2013,"3,75,000","20,0000kms",Diesel
Hyundai0Grand0i100Sportz0O01.20Kappa0VTVT,Hyundai,2014,"3,65,000","20,0000kms",Petrol
Hyundai0i200Active01.20SX,Hyundai,2015,"5,00,000","18,0000kms",Petrol
Mahindra0Xylo0E4,Mahindra,2012,"4,00,000","35,0000kms",Diesel
Mahindra0Jeep0MM05500XDB,Mahindra,2019,"3,90,000",600kms,Diesel
Renault0Duster0110PS0Diesel0RxZ,Renault,2012,"5,01,000","35,0000kms",Diesel
Mahindra0Bolero0SLE0BS0IV,Mahindra,2013,"3,30,000","80,2000kms",Diesel
Force0Motors0Force0One0LX0ABS070STR,Force,2015,"5,80,000","3,2000kms",Diesel
Maruti0Suzuki0SX4,Maruti,2012,"2,65,000","46,0000kms",Diesel
Mahindra0Jeep0CL5500MDI,Mahindra,2019,"3,79,000","0,0000kms",Diesel
Maruti0Suzuki0Alto0800,Maruti,2015,"2,19,000","5,0000kms",Petrol
Mahindra0Jeep0CL5500MDI,Mahindra,2018,"3,85,000",5880kms,Diesel
Toyota0Etios,Toyota,2011,"2,75,000","36,0000kms",Diesel
Volkswagen0Polo,Volkswagen,2015,"3,30,000","38,0000kms",Diesel
Honda0City0ZX0VTEC,Honda,2008,"1,10,000","45,0000kms",Petrol
Maruti0Suzuki0Wagon0R0LX0BS0III,Maruti,2006,"80,000","71,2000kms",Petrol
Honda0City0VX0O0MT0Diesel,Honda,2016,"5,19,000","52,0000kms",Diesel
Mahindra0Thar0CRDe04x40AC,Mahindra,2016,"7,30,000","29,0000kms",Diesel
Mitsubishi0Pajero0Sport0Limited0Edition,Mitsubishi,2015,"14,75,000","47,0000kms",Diesel
Audi0A401.80TFSI0Multitronic0Premium0Plus,Audi,2009,"6,99,000","47,0000kms",Petrol
Mercedes0Benz0GLA0Class02000CDI0Sport,Mercedes,2015,"20,00,000","20,0000kms",Diesel
Land0Rover0Freelander020SE,Land,2015,"21,00,000","30,0000kms",Diesel
Renault0Kwid0RXT,Renault,2017,"3,40,000","5,0000kms",Petrol
Tata0Aria0Pleasure04X2,Tata,2014,"3,90,000","35,0000kms",Diesel
Mercedes0Benz0B0Class0B1800Sports,Mercedes,2014,"14,00,000","31,0000kms",Petrol
Datsun0GO0T0O,Datsun,2016,"2,45,000","7,0000kms",Petrol
Tata0Indigo0eCS0LX0TDI0BS0III,Tata,2016,"3,20,000","1,75,4300kms",Diesel
Tata0Indigo0eCS0LX0TDI0BS0III,Tata,2016,"3,20,000","1,75,4000kms",Diesel
Honda0Jazz0VX0MT,Honda,2016,"4,50,000","41,0000kms",Petrol
Honda0Amaze01.20S0i0VTEC,Honda,2014,"3,11,000","33,0000kms",Petrol
Honda0Amaze,Honda,2013,"2,84,999","46,0000kms",Diesel
Honda0City,Honda,2012,"3,99,999","45,0000kms",Petrol
Honda0City,Honda,2015,"5,99,999","39,0000kms",Diesel
Honda0Amaze,Honda,2015,"3,44,999","22,0000kms",Petrol
Audi0A401.80TFSI0Multitronic0Premium0Plus,Audi,2009,"6,99,000","47,0000kms",Petrol
Force0Motors0Force0One0LX0ABS070STR,Force,2015,"5,80,000","3,2000kms",Diesel
Mahindra0Scorpio0S4,Mahindra,2015,"8,55,000","30,0000kms",Diesel
Hyundai0i200Active01.4L0SX0O,Hyundai,2015,"5,35,000","37,0000kms",Diesel
Mini0Cooper0S,Mini,2013,"18,91,111","13,0000kms",Petrol
Maruti0Suzuki0Ciaz0ZXI0Plus,Maruti,2017,"6,99,000","14,0000kms",Petrol
Chevrolet0Tavera0Neo,Chevrolet,2013,"3,75,000","55,0000kms",Diesel
Honda0Amaze,Honda,2013,"2,84,999","46,0000kms",Diesel
Hyundai0Eon0Sportz,Hyundai,2012,"1,78,000","30,0000kms",Petrol
Tata0Sumo0Gold0Select0Variant,Tata,2013,"3,00,000","50,0000kms",Diesel
Maruti0Suzuki0Wagon0R01.0,Maruti,2003,"90,000","45,0000kms",Petrol
Maruti0Suzuki0Esteem0VXi0BS0III,Maruti,2006,"95,000","45,0000kms",Petrol
Maruti0Suzuki0Eeco050STR0WITH0AC0HTR,Maruti,2015,"2,55,000","9,3000kms",Petrol
Chevrolet0Enjoy01.40LS080STR,Chevrolet,2013,"2,45,000","55,0000kms",Diesel
Hyundai0i200Asta01.40CRDI060Speed,Hyundai,2012,"3,29,500","36,2000kms",Diesel
Ford0Figo0Diesel0EXI,Ford,2014,"1,95,000","50,0000kms",Diesel
Maruti0Suzuki0Eeco050STR0WITH0AC0HTR,Maruti,2015,"2,51,111","55,0000kms",Petrol
Maruti0Suzuki0Ertiga0ZXi,Maruti,2014,"5,69,999","45,0000kms",Petrol
Maruti0Suzuki0Esteem0LXi0BS0III,Maruti,2007,"69,999","51,0000kms",Petrol
Maruti0Suzuki0Ritz0VXI,Maruti,2014,"2,99,999","19,0000kms",Petrol
Maruti0Suzuki0Dzire,Maruti,2009,"2,20,000","46,0000kms",Petrol
Maruti0Suzuki0Ritz0LDi,Maruti,2013,"3,99,999","33,0000kms",Diesel
Maruti0Suzuki0SX40ZXI0MT,Maruti,2010,"2,49,999","36,0000kms",Petrol
Maruti0Suzuki0Wagon0R01.00VXi,Maruti,2015,"2,89,999","22,0000kms",Petrol
Mini0Cooper0S01.6,Mini,2013,"18,91,111","13,5000kms",Petrol
Nissan0Terrano0XL0D0Plus,Nissan,2015,"4,99,999","60,0000kms",Diesel
Renault0Duster0850PS0RxE0Diesel,Renault,2013,"4,89,999","27,0000kms",Diesel
Renault0Duster0850PS0RxE0Diesel,Renault,2014,"4,89,999","59,0000kms",Diesel
Renault0Duster0850PS0RxL0Diesel,Renault,2015,"5,49,999","19,0000kms",Diesel
Maruti0Suzuki0Dzire0ZXI,Maruti,2013,"3,80,000","30,0000kms",Petrol
Renault0Kwid0RXT0Opt,Renault,2018,"3,25,000","15,0000kms",Petrol
Maruti0Suzuki0Maruti08000Std,Maruti,2003,"57,000","56,7580kms",Petrol
Renault0Kwid01.00RXT0AMT,Renault,2018,"3,49,999","10,0000kms",Petrol
Renault0Lodgy0850PS0RXL,Renault,2018,"6,89,999","20,0000kms",Diesel
Renault0Scala0RxL0Diesel,Renault,2014,"3,49,999","49,0000kms",Diesel
Hyundai0Grand0i100Asta01.20Kappa0VTVT0O,Hyundai,2014,"4,10,000","41,0000kms",Petrol
Maruti0Suzuki0Swift0Dzire0VXi01.20BS0IV,Maruti,2011,"2,25,000","45,0000kms",Petrol
Chevrolet0Beat0LS0Petrol,Chevrolet,2010,"1,20,000","43,0000kms",Petrol
Tata0Indigo0eCS0LX0TDI0BS0III,Tata,2016,"3,20,000","1,75,4300kms",Diesel
Hyundai0Santro0Xing0XO0eRLX0Euro0III,Hyundai,2000,"59,000","56,4500kms",Petrol
Hyundai0Fluidic0Verna01.60CRDi0SX,Hyundai,2015,"5,40,000","38,0000kms",Diesel
"Commercial0,0DZire0LDI,02016,0for0sale",Commercial,...,Ask0For0Price,,
Chevrolet0Beat0LS0Petrol,Chevrolet,2010,"80,000","56,0000kms",Petrol
Mahindra0Quanto0C8,Mahindra,2013,"3,40,000","37,0000kms",Diesel
Fiat0Petra0ELX01.20PS,Fiat,2008,"75,000","65,0000kms",Petrol
Chevrolet0Beat0LS0Petrol,Chevrolet,2015,"2,20,000","32,7000kms",Petrol
Skoda0Fabia01.2L0Diesel0Ambiente,Skoda,2011,"1,59,500","38,2000kms",Diesel
Ford0EcoSport0Titanium01.5L0TDCi,Ford,2016,"5,99,000","30,0000kms",Diesel
Hyundai0Accent0GLX,Hyundai,2006,"80,000","56,0000kms",Petrol
Yama,Yamaha,r015,"55,000",,
Maruti0Suzuki0Swift0LDi,Maruti,2010,Ask0For0Price,"52,0000kms",Diesel
Mahindra0TUV3000T40Plus,Mahindra,2016,"6,75,000","9,0000kms",Diesel
Mini0Cooper0S01.6,Mini,2013,"18,91,111","13,0000kms",Petrol
Mini0Cooper0S01.6,Mini,2013,"18,91,111","13,0000kms",Petrol
Tata0Indica0V20Xeta0e0GLE,Tata,2008,"1,50,000","11,0000kms",Petrol
Mini0Cooper0S,Mini,2013,"18,91,111","13,0000kms",Petrol
Tata0Indigo0CS0LS0DiCOR,Tata,2009,"72,500","46,0000kms",Diesel
Maruti0Suzuki0Swift0VXi01.20ABS0BS0IV,Maruti,2019,"6,10,000",730kms,Petrol
Mahindra0Scorpio0VLX0Special0Edition0BS0III,Mahindra,2004,"2,30,000","1,60,0000kms",Diesel
Tata0Indica0eV20LS,Tata,2017,Ask0For0Price,"84,0000kms",Diesel
Honda0Accord,Honda,2009,"1,75,000","58,5590kms",Petrol
